header
IE0.0    -14.532       1       1 8.9177  2.3138  2.3       56.14   56.14
OF314.0  -12.755    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF315.0  -12.739    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF316.0  -12.723    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF317.0  -12.707    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF318.0  -12.691    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF319.0  -12.675    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF320.0  -12.659    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF321.0  -12.643    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF322.0  -12.627    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF323.0  -12.612    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF324.0  -12.596    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF325.0  -12.58     0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF326.0  -12.564    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF327.0  -12.548    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF328.0  -12.532    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF329.0  -12.516    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF330.0  -12.500    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF331.0  -12.484    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF332.0  -12.468    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF333.0  -12.452    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF334.0  -12.436    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF335.0  -12.420    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF336.0  -12.404    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF337.0  -12.388    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
