header
IE0.0    -19.593       1       1 9.0068  6.2314  5         56.14   56.14
IF526.0  2.7288     0.00 9.009      0.00    0.00    0.00    0.00    0.00
IF528.0  2.978      0.00 9.009      0.00    0.00    0.00    0.00    0.00
IF530.0  3.1452     0.00 9.009      0.00    0.00    0.00    0.00    0.00
IF532.0  3.2507     0.00 9.009      0.00    0.00    0.00    0.00    0.00
IF534.0  3.3562     0.00 9.009      0.00    0.00    0.00    0.00    0.00
IF536.0  3.4617     0.00 9.009      0.00    0.00    0.00    0.00    0.00
IF538.0  3.9891     0.00 9.009      0.00    0.00    0.00    0.00    0.00
IF540.0  4.784      0.00 9.009      0.00    0.00    0.00    0.00    0.00
IF542.0  5.4413     0.00 9.009      0.00    0.00    0.00    0.00    0.00
IF544.6  5.6404     0.00 9.0253     0.00    0.00    0.00    0.00    0.00
IF547.9  6.547      0.00 9.0721     0.00    0.00    0.00    0.00    0.00
IF551.2  7.9991     0.00 9.2841     0.00    0.00    0.00    0.00    0.00
IF554.0  9.0145     0.00 9.2841     0.00    0.00    0.00    0.00    0.00
IF554.5  9.2841     0.00 9.2841     0.00    0.00    0.00    0.00    0.00
PS START(419903.7913,4850728.3748)
PS END(420109.1804,4850819.9463)
ET
 
 
 
