 WAVE HEIGHT COMPUTATIONS FOR FLOOD INSURANCE STUDIES (WHAFIS VERSION 4.0G, 08_2007)
 Executed on: Mon May 11 15:31:26 2020
 Input file:  C:\FEMA-TransectAnalysis\LOMR-TransectAnalysis-Biddeford\3_whafis\whafis4\YK-121.dat                                            
 Output file: C:\FEMA-TransectAnalysis\LOMR-TransectAnalysis-Biddeford\3_whafis\whafis4\YK-121.out                                            
                                                              header                                                                
                                                     THIS IS A 100-YEAR CASE
                                       THE FOLLOWING NON-DEFAULT WIND SPEEDS ARE BEING USED
                                            WINDIF  56.14  WINDOF  56.14  WINDVH  60.00
                                                             PART1 INPUT
          IF   1215.000      4.508      0.000      9.065      0.000      0.000      0.000      0.000      0.014      0.000
          IF   1221.000      4.980      0.000      9.065      0.000      0.000      0.000      0.000     -0.004      0.000
          IF   1224.000      4.475      0.000      9.065      0.000      0.000      0.000      0.000     -0.039      0.000
          IF   1227.000      4.747      0.000      9.065      0.000      0.000      0.000      0.000      0.015      0.000
          IF   1230.500      4.574      0.000      9.065      0.000      0.000      0.000      0.000     -0.030      0.000
          IF   1235.000      4.508      0.000      9.066      0.000      0.000      0.000      0.000      0.056      0.000
          IF   1242.000      5.216      0.000      9.066      0.000      0.000      0.000      0.000      0.035      0.000
          IF   1251.500      5.085      0.000      9.066      0.000      0.000      0.000      0.000     -0.003      0.000
          IF   1263.500      5.151      0.000      9.067      0.000      0.000      0.000      0.000      0.000      0.000
          IF   1274.000      5.085      0.000      9.067      0.000      0.000      0.000      0.000      0.000      0.000
          IF   1283.000      5.151      0.000      9.067      0.000      0.000      0.000      0.000      0.009      0.000
          IF   1291.500      5.249      0.000      9.068      0.000      0.000      0.000      0.000      0.021      0.000
          IF   1294.000      5.381      0.000      9.068      0.000      0.000      0.000      0.000      0.045      0.000
          IF   1298.000      5.545      0.000      9.068      0.000      0.000      0.000      0.000      0.049      0.000
          IF   1302.000      5.774      0.000      9.068      0.000      0.000      0.000      0.000      0.025      0.000
          IF   1306.000      5.741      0.000      9.068      0.000      0.000      0.000      0.000     -0.027      0.000
          IF   1314.000      5.446      0.000      9.068      0.000      0.000      0.000      0.000     -0.012      0.000
          IF   1323.000      5.545      0.000      9.069      0.000      0.000      0.000      0.000      0.009      0.000
          IF   1332.000      5.610      0.000      9.069      0.000      0.000      0.000      0.000      0.011      0.000
