X,Y,Z,STA
 -70.6563648031,   43.0788210689, -38.2644, -2308.00
 -70.6563685399,   43.0788212334, -38.2535, -2307.00
 -70.6563722766,   43.0788213978, -38.2426, -2306.00
 -70.6563760133,   43.0788215622, -38.2317, -2305.00
 -70.6563797501,   43.0788217267, -38.2208, -2304.00
 -70.6563834830,   43.0788218911, -38.2099, -2303.00
 -70.6563872198,   43.0788220556, -38.1990, -2302.00
 -70.6563909565,   43.0788222200, -38.1881, -2301.00
 -70.6563946932,   43.0788223845, -38.1772, -2300.00
 -70.6563984300,   43.0788225489, -38.1663, -2299.00
 -70.6564021667,   43.0788227134, -38.1555, -2298.00
 -70.6564058997,   43.0788228778, -38.1446, -2297.00
 -70.6564096364,   43.0788230423, -38.1337, -2296.00
 -70.6564133732,   43.0788232067, -38.1228, -2295.00
 -70.6564171099,   43.0788233711, -38.1119, -2294.00
 -70.6564208466,   43.0788235356, -38.1010, -2293.00
 -70.6564245834,   43.0788237000, -38.0901, -2292.00
 -70.6564283164,   43.0788238645, -38.0792, -2291.00
 -70.6564320531,   43.0788240290, -38.0683, -2290.00
 -70.6564357898,   43.0788241934, -38.0574, -2289.00
 -70.6564395266,   43.0788243578, -38.0466, -2288.00
 -70.6564432633,   43.0788245223, -38.0357, -2287.00
 -70.6564470000,   43.0788246867, -38.0248, -2286.00
 -70.6564507330,   43.0788248512, -38.0139, -2285.00
 -70.6564544697,   43.0788250156, -38.0030, -2284.00
 -70.6564582065,   43.0788251801, -37.9921, -2283.00
 -70.6564619432,   43.0788253445, -37.9812, -2282.00
 -70.6564656799,   43.0788255089, -37.9703, -2281.00
 -70.6564694167,   43.0788256734, -37.9594, -2280.00
 -70.6564731497,   43.0788258378, -37.9485, -2279.00
 -70.6564768864,   43.0788260023, -37.9377, -2278.00
 -70.6564806231,   43.0788261667, -37.9268, -2277.00
 -70.6564843599,   43.0788263312, -37.9159, -2276.00
 -70.6564880966,   43.0788264956, -37.9050, -2275.00
 -70.6564918333,   43.0788266600, -37.8941, -2274.00
 -70.6564955663,   43.0788268245, -37.8832, -2273.00
 -70.6564993031,   43.0788269889, -37.8723, -2272.00
 -70.6565030398,   43.0788271534, -37.8614, -2271.00
 -70.6565067765,   43.0788273178, -37.8505, -2270.00
 -70.6565105133,   43.0788274823, -37.8397, -2269.00
 -70.6565142500,   43.0788276467, -37.8288, -2268.00
 -70.6565179830,   43.0788278112, -37.8179, -2267.00
 -70.6565217197,   43.0788279756, -37.8070, -2266.00
 -70.6565254565,   43.0788281400, -37.7894, -2265.00
 -70.6565291932,   43.0788283045, -37.7683, -2264.00
 -70.6565329299,   43.0788284689, -37.7473, -2263.00
 -70.6565366667,   43.0788286334, -37.7262, -2262.00
 -70.6565404034,   43.0788287978, -37.7051, -2261.00
 -70.6565441364,   43.0788289623, -37.6841, -2260.00
 -70.6565478731,   43.0788291267, -37.6630, -2259.00
 -70.6565516098,   43.0788292911, -37.6420, -2258.00
 -70.6565553466,   43.0788294556, -37.6209, -2257.00
 -70.6565590833,   43.0788296200, -37.5998, -2256.00
 -70.6565628200,   43.0788297845, -37.5788, -2255.00
 -70.6565665530,   43.0788299489, -37.5577, -2254.00
 -70.6565702898,   43.0788301134, -37.5366, -2253.00
 -70.6565740265,   43.0788302778, -37.5156, -2252.00
 -70.6565777632,   43.0788304422, -37.4945, -2251.00
 -70.6565815000,   43.0788306067, -37.4735, -2250.00
 -70.6565852367,   43.0788307711, -37.4524, -2249.00
 -70.6565889697,   43.0788309355, -37.4313, -2248.00
 -70.6565927064,   43.0788311000, -37.4103, -2247.00
 -70.6565964432,   43.0788312644, -37.3892, -2246.00
 -70.6566001799,   43.0788314289, -37.3681, -2245.00
 -70.6566039166,   43.0788315933, -37.3471, -2244.00
 -70.6566076534,   43.0788317577, -37.3260, -2243.00
 -70.6566113864,   43.0788319222, -37.3050, -2242.00
 -70.6566151231,   43.0788320866, -37.2839, -2241.00
 -70.6566188598,   43.0788322511, -37.2628, -2240.00
 -70.6566225966,   43.0788324155, -37.2418, -2239.00
 -70.6566263333,   43.0788325799, -37.2207, -2238.00
 -70.6566300700,   43.0788327444, -37.1996, -2237.00
 -70.6566338030,   43.0788329088, -37.1786, -2236.00
 -70.6566375397,   43.0788330733, -37.1575, -2235.00
 -70.6566412765,   43.0788332377, -37.1365, -2234.00
 -70.6566450132,   43.0788334022, -37.1154, -2233.00
 -70.6566487500,   43.0788335666, -37.0943, -2232.00
 -70.6566524867,   43.0788337310, -37.0733, -2231.00
 -70.6566562197,   43.0788338955, -37.0522, -2230.00
 -70.6566599564,   43.0788340599, -37.0311, -2229.00
 -70.6566636931,   43.0788342244, -37.0101, -2228.00
 -70.6566674299,   43.0788343888, -36.9890, -2227.00
 -70.6566711666,   43.0788345532, -36.9680, -2226.00
 -70.6566749033,   43.0788347177, -36.9469, -2225.00
 -70.6566786363,   43.0788348821, -36.9258, -2224.00
 -70.6566823731,   43.0788350465, -36.9048, -2223.00
 -70.6566861098,   43.0788352110, -36.8837, -2222.00
 -70.6566898465,   43.0788353754, -36.8626, -2221.00
 -70.6566935833,   43.0788355398, -36.8416, -2220.00
 -70.6566973200,   43.0788357043, -36.8205, -2219.00
 -70.6567010530,   43.0788358687, -36.7995, -2218.00
 -70.6567047897,   43.0788360331, -36.7784, -2217.00
 -70.6567085265,   43.0788361976, -36.7573, -2216.00
 -70.6567122632,   43.0788363620, -36.7363, -2215.00
 -70.6567159999,   43.0788365264, -36.7152, -2214.00
 -70.6567197367,   43.0788366909, -36.6941, -2213.00
 -70.6567234697,   43.0788368553, -36.6731, -2212.00
 -70.6567272064,   43.0788370198, -36.6520, -2211.00
 -70.6567309431,   43.0788371842, -36.6310, -2210.00
 -70.6567346799,   43.0788373486, -36.6099, -2209.00
 -70.6567384166,   43.0788375131, -36.5888, -2208.00
 -70.6567421533,   43.0788376775, -36.5678, -2207.00
 -70.6567458863,   43.0788378420, -36.5467, -2206.00
 -70.6567496231,   43.0788380064, -36.5256, -2205.00
 -70.6567533598,   43.0788381708, -36.5046, -2204.00
 -70.6567570965,   43.0788383353, -36.4835, -2203.00
 -70.6567608333,   43.0788384997, -36.4625, -2202.00
 -70.6567645700,   43.0788386641, -36.4414, -2201.00
 -70.6567683030,   43.0788388286, -36.4203, -2200.00
 -70.6567720397,   43.0788389930, -36.3993, -2199.00
 -70.6567757765,   43.0788391574, -36.3782, -2198.00
 -70.6567795132,   43.0788393219, -36.3571, -2197.00
 -70.6567832499,   43.0788394863, -36.3361, -2196.00
 -70.6567869867,   43.0788396507, -36.3150, -2195.00
 -70.6567907197,   43.0788398152, -36.2940, -2194.00
 -70.6567944564,   43.0788399796, -36.2729, -2193.00
 -70.6567981931,   43.0788401440, -36.2518, -2192.00
 -70.6568019299,   43.0788403085, -36.2308, -2191.00
 -70.6568056666,   43.0788404729, -36.2097, -2190.00
 -70.6568094033,   43.0788406373, -36.1886, -2189.00
 -70.6568131363,   43.0788408018, -36.1676, -2188.00
 -70.6568168731,   43.0788409662, -36.1465, -2187.00
 -70.6568206098,   43.0788411306, -36.1255, -2186.00
 -70.6568243465,   43.0788412951, -36.1044, -2185.00
 -70.6568280833,   43.0788414595, -36.0833, -2184.00
 -70.6568318200,   43.0788416239, -36.0623, -2183.00
 -70.6568355530,   43.0788417884, -36.0412, -2182.00
 -70.6568392897,   43.0788419528, -36.0201, -2181.00
 -70.6568430265,   43.0788421173, -35.9991, -2180.00
 -70.6568467632,   43.0788422817, -35.9780, -2179.00
 -70.6568504999,   43.0788424461, -35.9570, -2178.00
 -70.6568542367,   43.0788426105, -35.9359, -2177.00
 -70.6568579697,   43.0788427750, -35.9148, -2176.00
 -70.6568617064,   43.0788429394, -35.8938, -2175.00
 -70.6568654431,   43.0788431038, -35.8727, -2174.00
