X,Y,Zlidar,STA,SOURCE
-70.2077241,43.64819415,-5.66601068,340,2006FEMA
-70.2077271,43.64819247,-5.66601068,341,2006FEMA
-70.2077301,43.6481908,-5.66601068,342,2006FEMA
-70.2077331,43.64818913,-5.66601068,343,2006FEMA
-70.20773609,43.64818746,-5.66601068,344,2006FEMA
-70.20773909,43.64818579,-5.62992144,345,2006FEMA
-70.20774209,43.64818412,-5.62992144,346,2006FEMA
-70.20774509,43.64818245,-5.62992144,347,2006FEMA
-70.20774808,43.64818078,-5.62992144,348,2006FEMA
-70.20775108,43.64817911,-5.62992144,349,2006FEMA
-70.20775408,43.64817744,-5.62992144,350,2006FEMA
-70.20775708,43.64817577,-5.62992144,351,2006FEMA
-70.20776008,43.6481741,-5.62992144,352,2006FEMA
-70.20776307,43.64817243,-5.62992144,353,2006FEMA
-70.20776607,43.64817076,-5.62992144,354,2006FEMA
-70.20776907,43.64816908,-5.62992144,355,2006FEMA
-70.20777207,43.64816741,-5.62992144,356,2006FEMA
-70.20777507,43.64816574,-5.62992144,357,2006FEMA
-70.20777806,43.64816407,-5.73162748,358,2006FEMA
-70.20778106,43.6481624,-5.73162748,359,2006FEMA
-70.20778406,43.64816073,-5.73162748,360,2006FEMA
-70.20778706,43.64815906,-5.73162748,361,2006FEMA
-70.20779005,43.64815739,-5.73162748,362,2006FEMA
-70.20779305,43.64815572,-5.73162748,363,2006FEMA
-70.20779605,43.64815405,-5.62992144,364,2006FEMA
-70.20779905,43.64815238,-5.62992144,365,2006FEMA
-70.20780205,43.64815071,-5.62992144,366,2006FEMA
-70.20780504,43.64814904,-5.62992144,367,2006FEMA
-70.20780804,43.64814736,-5.62992144,368,2006FEMA
-70.20781104,43.64814569,-5.62992144,369,2006FEMA
-70.20781404,43.64814402,-5.62992144,370,2006FEMA
-70.20781704,43.64814235,-5.60039388,371,2006FEMA
-70.20782003,43.64814068,-5.60039388,372,2006FEMA
-70.20782303,43.64813901,-5.60039388,373,2006FEMA
-70.20782603,43.64813734,-5.60039388,374,2006FEMA
-70.20782903,43.64813567,-5.60039388,375,2006FEMA
-70.20783203,43.648134,-5.60039388,376,2006FEMA
-70.20783502,43.64813233,-5.60039388,377,2006FEMA
-70.20783802,43.64813066,-5.60039388,378,2006FEMA
-70.20784102,43.64812899,-5.60039388,379,2006FEMA
-70.20784402,43.64812732,-5.60039388,380,2006FEMA
-70.20784701,43.64812564,-5.60039388,381,2006FEMA
-70.20785001,43.64812397,-5.60039388,382,2006FEMA
-70.20785301,43.6481223,-5.43635188,383,2006FEMA
-70.20785601,43.64812063,-5.43635188,384,2006FEMA
