X,Y,Z,STA
-70.3520095900,43.4347853600,-20.5670740151,-2151.00
-70.3520108200,43.4347879500,-20.5039741697,-2150.00
-70.3520120600,43.4347905500,-20.4404783482,-2149.00
-70.3520132900,43.4347931400,-20.3773785033,-2148.00
-70.3520145200,43.4347957300,-20.3142786584,-2147.00
-70.3520157600,43.4347983200,-20.2508886808,-2146.00
-70.3520169900,43.4348009200,-20.1876829919,-2145.00
-70.3520182300,43.4348035100,-20.1242930143,-2144.00
-70.3520194600,43.4348061000,-20.0611931694,-2143.00
-70.3520206900,43.4348086900,-19.9980933241,-2142.00
-70.3520219300,43.4348112800,-19.9347033464,-2141.00
-70.3520231600,43.4348138800,-19.8714976576,-2140.00
-70.3520244000,43.4348164700,-19.8081076800,-2139.00
-70.3520256300,43.4348190600,-19.7450078350,-2138.00
-70.3520268600,43.4348216500,-19.6819079901,-2137.00
-70.3520281000,43.4348242500,-19.6184121687,-2136.00
-70.3520293300,43.4348268400,-19.5553123237,-2135.00
-70.3520305600,43.4348294300,-19.4922124783,-2134.00
-70.3520318000,43.4348320200,-19.4288225007,-2133.00
-70.3520330300,43.4348346200,-19.3656168120,-2132.00
-70.3520342700,43.4348372100,-19.3022268344,-2131.00
-70.3520355000,43.4348398000,-19.2391269894,-2130.00
-70.3520367300,43.4348423900,-19.1760271444,-2129.00
-70.3520379700,43.4348449800,-19.1126371668,-2128.00
-70.3520392000,43.4348475800,-19.0494314780,-2127.00
-70.3520404400,43.4348501700,-18.9860415005,-2126.00
-70.3520416700,43.4348527600,-18.9229416551,-2125.00
-70.3520429000,43.4348553500,-18.8598418101,-2124.00
-70.3520441400,43.4348579500,-18.7963459886,-2123.00
-70.3520453700,43.4348605400,-18.7332461437,-2122.00
-70.3520466000,43.4348631300,-18.6701462988,-2121.00
-70.3520478400,43.4348657200,-18.6067563212,-2120.00
-70.3520490700,43.4348683200,-18.5435506319,-2119.00
-70.3520503100,43.4348709100,-18.4801606547,-2118.00
-70.3520515400,43.4348735000,-18.4170608094,-2117.00
-70.3520527700,43.4348760900,-18.3539609644,-2116.00
-70.3520540100,43.4348786800,-18.2905709869,-2115.00
-70.3520552400,43.4348812800,-18.2273652980,-2114.00
-70.3520564800,43.4348838700,-18.1639753204,-2113.00
-70.3520577100,43.4348864600,-18.1008754755,-2112.00
-70.3520589400,43.4348890500,-18.0377756301,-2111.00
-70.3520601800,43.4348916500,-17.9742798091,-2110.00
-70.3520614100,43.4348942400,-17.9111799637,-2109.00
-70.3520626400,43.4348968300,-17.8480801188,-2108.00
-70.3520638800,43.4348994200,-17.7846901411,-2107.00
-70.3520651100,43.4349020200,-17.7214844523,-2106.00
-70.3520663500,43.4349046100,-17.6580944748,-2105.00
-70.3520675800,43.4349072000,-17.5949946298,-2104.00
-70.3520688100,43.4349097900,-17.5318947844,-2103.00
-70.3520700500,43.4349123800,-17.4685048072,-2102.00
-70.3520712800,43.4349149800,-17.4052991180,-2101.00
-70.3520725200,43.4349175700,-17.3419091408,-2100.00
-70.3520737500,43.4349201600,-17.2788092955,-2099.00
-70.3520749800,43.4349227500,-17.2157094505,-2098.00
-70.3520762200,43.4349253500,-17.1522136291,-2097.00
-70.3520774500,43.4349279400,-17.0891137841,-2096.00
-70.3520786800,43.4349305300,-17.0260139387,-2095.00
-70.3520799200,43.4349331200,-16.9626239616,-2094.00
-70.3520811500,43.4349357200,-16.8994182724,-2093.00
-70.3520823900,43.4349383100,-16.8360282947,-2092.00
-70.3520836200,43.4349409000,-16.7729284498,-2091.00
-70.3520848500,43.4349434900,-16.7098286048,-2090.00
-70.3520860900,43.4349460800,-16.6464386272,-2089.00
-70.3520873200,43.4349486800,-16.5832329385,-2088.00
-70.3520885600,43.4349512700,-16.5198429608,-2087.00
-70.3520897900,43.4349538600,-16.4567431159,-2086.00
-70.3520910200,43.4349564500,-16.3936432705,-2085.00
-70.3520922600,43.4349590500,-16.3301474490,-2084.00
-70.3520934900,43.4349616400,-16.2670476041,-2083.00
-70.3520947200,43.4349642300,-16.2039477592,-2082.00
-70.3520959600,43.4349668200,-16.1405577816,-2081.00
-70.3520971900,43.4349694200,-16.0773520927,-2080.00
-70.3520984300,43.4349720100,-16.0139621151,-2079.00
-70.3520996600,43.4349746000,-15.9508622702,-2078.00
-70.3521008900,43.4349771900,-15.8877624249,-2077.00
-70.3521021300,43.4349797800,-15.8243724472,-2076.00
-70.3521033600,43.4349823800,-15.7611667584,-2075.00
-70.3521046000,43.4349849700,-15.6977767808,-2074.00
-70.3521058300,43.4349875600,-15.6346769358,-2073.00
-70.3521070600,43.4349901500,-15.5715770910,-2072.00
-70.3521083000,43.4349927500,-15.5080812695,-2071.00
-70.3521095300,43.4349953400,-15.4449814241,-2070.00
-70.3521107600,43.4349979300,-15.3818815791,-2069.00
-70.3521120000,43.4350005200,-15.3184916015,-2068.00
-70.3521132300,43.4350031200,-15.2552859128,-2067.00
-70.3521144700,43.4350057100,-15.1918959352,-2066.00
-70.3521157000,43.4350083000,-15.1287960902,-2065.00
-70.3521169300,43.4350108900,-15.0656962452,-2064.00
-70.3521181700,43.4350134800,-15.0023062676,-2063.00
-70.3521194000,43.4350160800,-14.9391005785,-2062.00
-70.3521206400,43.4350186700,-14.8757106013,-2061.00
-70.3521218700,43.4350212600,-14.8126107559,-2060.00
-70.3521231000,43.4350238500,-14.7495109109,-2059.00
-70.3521243400,43.4350264500,-14.6860150894,-2058.00
-70.3521255700,43.4350290400,-14.6229152445,-2057.00
-70.3521268000,43.4350316300,-14.5598153996,-2056.00
-70.3521280400,43.4350342200,-14.4964254220,-2055.00
-70.3521292700,43.4350368200,-14.4332197327,-2054.00
-70.3521305100,43.4350394100,-14.3698297555,-2053.00
-70.3521317400,43.4350420000,-14.3067299102,-2052.00
-70.3521329700,43.4350445900,-14.2436300653,-2051.00
-70.3521342100,43.4350471800,-14.1802400877,-2050.00
-70.3521354400,43.4350497800,-14.1170343988,-2049.00
-70.3521366800,43.4350523700,-14.1014417985,-2048.00
-70.3521379100,43.4350549600,-14.0905653610,-2047.00
-70.3521391400,43.4350575500,-14.0796889235,-2046.00
-70.3521403800,43.4350601500,-14.0687419065,-2045.00
-70.3521416100,43.4350627400,-14.0578654690,-2044.00
-70.3521428400,43.4350653300,-14.0469890315,-2043.00
-70.3521440800,43.4350679200,-14.0360581553,-2042.00
-70.3521453100,43.4350705200,-14.0251655770,-2041.00
-70.3521465500,43.4350731100,-14.0142347008,-2040.00
-70.3521477800,43.4350757000,-14.0033582634,-2039.00
