X,Y,Zadcirc,STA,source
-69.96522207,43.7621928,22.9660375873519,315,interpolated ADCIRC
-69.96522561,43.76219376,23.1488458604545,316,interpolated ADCIRC
-69.96522916,43.76219473,23.3322212136241,317,interpolated ADCIRC
-69.9652327,43.7621957,23.5150990139211,318,interpolated ADCIRC
-69.96523624,43.76219666,23.6979072863166,319,interpolated ADCIRC
-69.96523979,43.76219763,23.8812826395356,320,interpolated ADCIRC
-69.96524333,43.76219859,24.0640909125887,321,interpolated ADCIRC
-69.96524687,43.76219956,24.2469687128858,322,interpolated ADCIRC
-69.96525042,43.76220053,24.4303440661048,323,interpolated ADCIRC
-69.96525396,43.76220149,24.6676822013834,324,interpolated ADCIRC
-69.96525751,43.76220246,24.9115295858987,325,interpolated ADCIRC
-69.96526105,43.76220343,25.1547671449598,326,interpolated ADCIRC
-69.96526459,43.76220439,25.3977226486906,327,interpolated ADCIRC
-69.96526814,43.76220536,25.6415700334063,328,interpolated ADCIRC
-69.96527168,43.76220633,25.884807592267,329,interpolated ADCIRC
-69.96527523,43.76220729,26.1283729207858,330,interpolated ADCIRC
-69.96527877,43.76220826,26.3716104798468,331,interpolated ADCIRC
-69.96528231,43.76220923,26.6148480397745,332,interpolated ADCIRC
-69.96528586,43.76221019,26.8584133672263,333,interpolated ADCIRC
-69.9652894,43.76221116,27.101650927154,334,interpolated ADCIRC
-69.96529294,43.76221212,27.3446064300181,335,interpolated ADCIRC
-69.96529649,43.76221309,27.5884538147339,336,interpolated ADCIRC
-69.96530003,43.76221406,27.8316913735945,337,interpolated ADCIRC
-69.96530358,43.76221502,28.0752567021133,338,interpolated ADCIRC
-69.96530712,43.76221599,28.318494262041,339,interpolated ADCIRC
-69.96531066,43.76221696,28.5617318211021,340,interpolated ADCIRC
-69.96531421,43.76221792,28.8052971494205,341,interpolated ADCIRC
-69.96531775,43.76221889,29.0485347084815,342,interpolated ADCIRC
-69.96532129,43.76221986,29.2917722684092,343,interpolated ADCIRC
-69.96532484,43.76222082,29.5353375960614,344,interpolated ADCIRC
-69.96532838,43.76222179,29.7785751557887,345,interpolated ADCIRC
-69.96533193,43.76222276,30.0224225405044,346,interpolated ADCIRC
-69.96533547,43.76222372,30.2653780433686,347,interpolated ADCIRC
-69.96533901,43.76222469,30.4989711565548,348,interpolated ADCIRC
-69.96534256,43.76222566,30.6688812968376,349,interpolated ADCIRC
-69.9653461,43.76222662,30.8381087787932,350,interpolated ADCIRC
-69.96534964,43.76222759,31.007617010772,351,interpolated ADCIRC
-69.96535319,43.76222855,31.1772464004604,352,interpolated ADCIRC
-69.96535673,43.76222952,31.3467546322397,353,interpolated ADCIRC
-69.96536028,43.76223049,31.5166647725225,354,interpolated ADCIRC
-69.96536382,43.76223145,31.6858922539069,355,interpolated ADCIRC
-69.96536736,43.76223242,31.8554004862574,356,interpolated ADCIRC
-69.96537091,43.76223339,32.0253106265402,357,interpolated ADCIRC
-69.96537445,43.76223435,32.1945381079246,358,interpolated ADCIRC
-69.96537799,43.76223532,32.3640463399034,359,interpolated ADCIRC
-69.96538154,43.76223629,32.5339564799867,360,interpolated ADCIRC
-69.96538508,43.76223725,32.7031839619423,361,interpolated ADCIRC
-69.96538863,43.76223822,32.8730941022251,362,interpolated ADCIRC
-69.96539217,43.76223919,33.0426023342039,363,interpolated ADCIRC
-69.96539571,43.76224015,33.2118298153888,364,interpolated ADCIRC
-69.96539926,43.76224112,33.3817399556716,365,interpolated ADCIRC
-69.9654028,43.76224208,33.5509674376272,366,interpolated ADCIRC
