X,Y,Zlidar,STA,SOURCE
-69.89950871,43.78866444,-999,546,-999
-69.89950512,43.78866355,-999,547,-999
-69.89950154,43.78866266,-999,548,-999
-69.89949796,43.78866177,-999,549,-999
-69.89949437,43.78866088,-999,550,-999
-69.89949079,43.78865999,-999,551,-999
-69.89948721,43.7886591,-999,552,-999
-69.89948362,43.78865821,-999,553,-999
-69.89948004,43.78865732,-999,554,-999
-69.89947646,43.78865643,-999,555,-999
-69.89947287,43.78865554,-999,556,-999
-69.89946929,43.78865465,-999,557,-999
-69.89946571,43.78865376,-999,558,-999
-69.89946212,43.78865287,-999,559,-999
-69.89945854,43.78865198,-999,560,-999
-69.89945496,43.7886511,-999,561,-999
-69.89945137,43.78865021,-999,562,-999
-69.89944779,43.78864932,-999,563,-999
-69.8994442,43.78864843,-999,564,-999
-69.89944062,43.78864754,-999,565,-999
-69.89943704,43.78864665,-999,566,-999
-69.89943345,43.78864576,-999,567,-999
-69.89942987,43.78864487,-999,568,-999
-69.89942629,43.78864398,-999,569,-999
-69.8994227,43.78864309,-999,570,-999
-69.89941912,43.7886422,-999,571,-999
-69.89941554,43.78864131,-999,572,-999
-69.89941195,43.78864042,-999,573,-999
-69.89940837,43.78863953,-999,574,-999
-69.89940479,43.78863864,-999,575,-999
-69.8994012,43.78863775,-999,576,-999
-69.89939762,43.78863686,-999,577,-999
-69.89939404,43.78863597,-999,578,-999
-69.89939045,43.78863508,-999,579,-999
-69.89938687,43.78863419,-999,580,-999
-69.89938329,43.7886333,-999,581,-999
-69.8993797,43.78863241,-999,582,-999
-69.89937612,43.78863152,-999,583,-999
-69.89937253,43.78863063,-999,584,-999
-69.89936895,43.78862974,-999,585,-999
-69.89936537,43.78862885,-999,586,-999
-69.89936178,43.78862796,-999,587,-999
-69.8993582,43.78862707,-999,588,-999
-69.89935462,43.78862619,-999,589,-999
-69.89935103,43.7886253,-999,590,-999
-69.89934745,43.78862441,-999,591,-999
-69.89934387,43.78862352,-999,592,-999
-69.89934028,43.78862263,-999,593,-999
-69.8993367,43.78862174,-999,594,-999
-69.89933312,43.78862085,-999,595,-999
-69.89932953,43.78861996,-999,596,-999
-69.89932595,43.78861907,-999,597,-999
-69.89932237,43.78861818,-999,598,-999
-69.89931878,43.78861729,-999,599,-999
-69.8993152,43.7886164,-999,600,-999
-69.89931162,43.78861551,-999,601,-999
-69.89930803,43.78861462,-999,602,-999
-69.89930445,43.78861373,-999,603,-999
-69.89930087,43.78861284,-999,604,-999
-69.89929728,43.78861195,-999,605,-999
-69.8992937,43.78861106,-999,606,-999
-69.89929011,43.78861017,-999,607,-999
-69.89928653,43.78860928,-999,608,-999
-69.89928295,43.78860839,-999,609,-999
-69.89927936,43.7886075,-999,610,-999
